,ROC AUC Score,PR AUC Score
Fall1,0.7924901185770751,0.4101571381776599
Fall2,0.8250591016548463,0.5003347873581198
Fall3,0.889355516071717,0.6932907223059298
Fall4,0.7934027777777779,0.4231312633068176
Fall5,0.925,0.8037635929458443
Fall6,0.9478991596638655,0.8714260399899163
Fall7,0.9286430481283423,0.7452819305007363
Fall8,0.8527777777777779,0.5801043228696947
Fall9,0.8705829054666264,0.6611289701455001
Fall10,0.896701388888889,0.620992914368145
Fall11,0.9378689033861448,0.8015572132318515
Fall12,0.9397916666666666,0.8972068889423681
Fall13,0.9509803921568628,0.8490905444226551
Fall14,0.9443149443149443,0.853810749804511
Fall15,0.9358552631578948,0.8833192044485294
Fall16,0.9553466509988249,0.8701723173468234
Fall17,0.9798850574712643,0.9552899745945865
Fall18,0.9361161524500907,0.7922243005264396
Fall19,0.9769230769230769,0.957931254892744
Fall20,0.9321475625823451,0.8849438770525233
Fall21,0.9495008807985907,0.8785235459974241
Fall22,0.9779104477611941,0.9231910109156718
Fall23,0.8370801033591732,0.6920480887272298
Fall24,0.9702479338842975,0.932350652210401
Fall25,0.9554843304843305,0.8921207668638188
Fall26,0.9513770180436847,0.8744539727616631
Fall27,0.8924510717614166,0.5821166261967929
Fall28,0.9374057315233786,0.8483748645050033
Fall29,0.9516806722689076,0.8096320980443836
Fall30,0.9319274879763226,0.734161601315475
Fall31,0.9364055299539171,0.7316577353919168
Fall32,0.8796452702702703,0.8048129885082644
Fall33,0.9417879417879417,0.8908038097597712
Fall34,0.9538598047914819,0.8082910061379267
Fall35,0.956938775510204,0.8867583716994362
Fall36,0.8547008547008548,0.6822816039724295
Fall37,0.9777972027972028,0.9220952114262421
Fall38,0.9465045592705168,0.8923913766206925
Fall39,0.9870619063216508,0.9572162442470198
Fall40,0.9073251942286349,0.7119357431636657
Fall41,0.9195869837296621,0.8472877120510064
Fall42,0.9615147783251232,0.8622900669633279
Fall43,0.9323927101704879,0.8154830732722509
Fall44,0.8319354838709677,0.667277240582252
Fall45,0.9099130434782609,0.7961893034824755
Fall46,0.9346829640947288,0.8265850857830863
Fall47,0.8962508080155139,0.8178444372242629
Fall48,0.9301496792587313,0.8158356275726723
Fall49,0.9302477183833116,0.8470099752741366
Fall50,0.945546019532406,0.8405187780163527
Fall51,0.9665488513001768,0.8309150729478674
