,ROC AUC Score,PR AUC Score
Fall1,0.74,0.35
Fall2,0.79,0.37
Fall3,0.91,0.78
Fall4,0.8,0.46
Fall5,0.93,0.79
Fall6,0.91,0.73
Fall7,0.95,0.82
Fall8,0.86,0.65
Fall9,0.86,0.69
Fall10,0.84,0.63
Fall11,0.94,0.79
Fall12,0.98,0.97
Fall13,0.97,0.91
Fall14,0.97,0.93
Fall15,0.97,0.94
Fall16,0.91,0.81
Fall17,0.98,0.95
Fall18,0.97,0.89
Fall19,0.97,0.95
Fall20,0.95,0.93
Fall21,0.95,0.89
Fall22,0.99,0.94
Fall23,0.89,0.79
Fall24,0.9,0.78
Fall25,1.0,0.99
Fall26,0.9,0.78
Fall27,0.95,0.88
Fall28,0.86,0.72
Fall29,0.99,0.96
Fall30,0.89,0.71
Fall31,0.96,0.89
Fall32,0.96,0.92
Fall33,0.94,0.87
Fall34,0.92,0.61
Fall35,0.89,0.68
Fall36,0.86,0.67
Fall37,0.93,0.68
Fall38,0.93,0.82
Fall39,0.97,0.92
Fall40,0.96,0.89
Fall41,0.93,0.83
Fall42,0.92,0.73
Fall43,0.93,0.79
Fall44,0.87,0.7
Fall45,0.94,0.77
Fall46,0.95,0.75
Fall47,0.92,0.76
Fall48,0.94,0.73
Fall49,0.91,0.74
Fall50,0.91,0.72
Fall51,0.97,0.88
Fall52,0.92,0.81
Fall53,0.96,0.93
Fall54,0.95,0.84
Fall55,0.89,0.81
Fall56,0.93,0.81
Fall57,0.98,0.94
Fall58,0.95,0.88
Fall59,0.89,0.77
Fall60,0.97,0.9
Fall61,0.94,0.85
Fall62,0.99,0.94
Fall63,0.96,0.85
Fall64,0.97,0.78
Fall65,0.95,0.83
Fall66,0.96,0.82
Fall67,0.83,0.39
Fall68,0.98,0.95
Fall69,0.83,0.57
Fall70,0.98,0.95
Fall71,0.94,0.83
Fall72,0.93,0.87
Fall73,0.96,0.9
Fall74,0.97,0.93
Fall75,0.97,0.91
Fall76,0.96,0.93
Fall77,0.98,0.92
Fall78,0.97,0.8
Fall79,0.92,0.8
Fall80,0.93,0.85
Fall81,0.99,0.97
Fall82,0.97,0.92
Fall83,0.99,0.93
Fall84,0.99,0.92
Fall85,0.98,0.93
Fall86,0.95,0.84
Fall87,0.99,0.96
Fall88,0.88,0.67
Fall89,0.96,0.91
Fall90,0.87,0.58
Fall91,0.94,0.88
Fall92,0.94,0.8
Fall93,0.91,0.79
Fall94,0.93,0.72
Fall95,0.96,0.91
Fall96,0.94,0.88
Fall97,0.98,0.95
Fall98,0.94,0.81
Fall99,0.87,0.56
Fall100,0.91,0.66
Fall101,0.88,0.62
Fall102,0.92,0.77
Fall103,0.87,0.6
Fall104,0.95,0.83
Fall105,0.84,0.6
Fall106,0.94,0.65
Fall107,0.9,0.68
Fall108,0.98,0.92
Fall109,0.78,0.45
Fall110,0.98,0.93
Fall111,0.89,0.79
Fall112,0.93,0.83
Fall113,0.91,0.71
Fall114,0.77,0.61
Fall115,0.94,0.82
Fall116,0.96,0.87
Fall117,0.94,0.9
Fall118,0.88,0.77
Fall119,0.98,0.93
Fall120,0.91,0.79
Fall121,0.91,0.76
Fall122,0.89,0.72
Fall123,0.89,0.7
Fall124,0.92,0.82
Fall125,0.98,0.91
Fall126,0.88,0.67
Fall127,0.92,0.79
Fall128,0.97,0.92
Fall129,0.83,0.67
Fall130,0.93,0.73
Fall131,1.0,0.99
Fall132,0.99,0.96
Fall133,0.82,0.55
Fall134,0.95,0.8
Fall135,0.95,0.75
Fall136,0.93,0.69
Fall137,0.97,0.86
Fall138,0.97,0.85
Fall139,0.98,0.91
Fall140,0.88,0.53
Fall141,0.97,0.79
Fall142,0.92,0.64
Fall143,0.91,0.51
Fall144,0.95,0.82
Fall145,0.91,0.76
Fall146,0.94,0.74
Fall147,0.9,0.65
Fall148,0.9,0.65
Fall149,0.91,0.63
Fall150,0.85,0.6
Fall151,0.77,0.27
Fall152,0.83,0.34
Fall153,0.92,0.78
Fall154,0.85,0.34
Fall155,0.95,0.85
Fall156,0.82,0.43
Fall157,0.82,0.33
Fall158,0.96,0.85
Fall159,0.89,0.72
Fall160,0.89,0.62
Fall161,0.97,0.93
Fall162,0.97,0.92
Fall163,0.97,0.93
Fall164,0.96,0.91
Fall165,0.97,0.94
Fall166,0.93,0.78
Fall167,0.94,0.84
Fall168,0.93,0.83
Fall169,0.99,0.98
Fall170,0.96,0.77
Fall171,0.93,0.72
Fall172,0.89,0.66
Fall173,0.98,0.93
Fall174,0.84,0.55
Fall175,0.94,0.81
Fall176,0.96,0.84
Fall177,0.97,0.89
Fall178,0.97,0.88
Fall179,0.94,0.81
Fall180,0.98,0.92
Fall181,0.9,0.7
Fall182,0.8,0.4
Fall183,0.88,0.66
Fall184,0.65,0.22
Fall185,0.93,0.72
Fall186,0.42,0.14
Fall187,0.88,0.62
Fall188,0.93,0.71
Fall189,0.93,0.67
Fall190,0.93,0.75
Fall191,1.0,0.99
Fall192,0.88,0.67
Fall193,0.97,0.9
Fall194,0.89,0.74
Fall195,0.98,0.92
Fall196,0.92,0.75
Fall197,0.86,0.71
Fall198,0.94,0.87
Fall199,0.79,0.41
Fall200,1.0,0.99
mean,0.92,0.77
std,0.07,0.16
