,ROC AUC Score,PR AUC Score
Fall1,0.84,0.56
Fall2,0.84,0.6
Fall3,0.93,0.84
Fall4,0.86,0.61
Fall5,0.98,0.95
Fall6,0.99,0.97
Fall7,0.99,0.97
Fall8,0.89,0.72
Fall9,0.97,0.89
Fall10,0.97,0.92
Fall11,0.94,0.67
Fall12,0.95,0.92
Fall13,0.94,0.74
Fall14,0.99,0.97
Fall15,0.96,0.91
Fall16,0.98,0.97
Fall17,0.98,0.94
Fall18,0.96,0.93
Fall19,0.96,0.94
Fall20,0.99,0.97
Fall21,0.97,0.93
Fall22,0.99,0.98
Fall23,0.9,0.76
Fall24,0.98,0.94
Fall25,0.99,0.97
Fall26,0.98,0.94
Fall27,0.96,0.91
Fall28,0.95,0.89
Fall29,0.99,0.97
Fall30,0.94,0.81
Fall31,0.96,0.88
Fall32,0.94,0.89
Fall33,0.96,0.93
Fall34,0.97,0.91
Fall35,0.97,0.89
Fall36,0.82,0.57
Fall37,0.99,0.97
Fall38,0.97,0.93
Fall39,0.99,0.98
Fall40,0.97,0.91
Fall41,0.99,0.98
Fall42,0.96,0.9
Fall43,0.96,0.9
Fall44,0.87,0.74
Fall45,0.96,0.89
Fall46,0.97,0.87
Fall47,0.97,0.9
Fall48,0.97,0.88
Fall49,0.98,0.92
Fall50,0.93,0.83
Fall51,0.99,0.95
Fall52,0.97,0.87
Fall53,0.99,0.97
Fall54,0.93,0.76
Fall55,0.94,0.88
Fall56,0.96,0.84
Fall57,1.0,1.0
Fall58,0.95,0.86
Fall59,0.99,0.96
Fall60,0.95,0.77
Fall61,0.99,0.96
Fall62,1.0,1.0
Fall63,1.0,0.99
Fall64,0.97,0.75
Fall65,1.0,1.0
Fall66,0.99,0.95
Fall67,0.98,0.93
Fall68,0.98,0.95
Fall69,0.97,0.89
Fall70,0.99,0.97
Fall71,0.99,0.97
Fall72,0.95,0.9
Fall73,1.0,0.99
Fall74,0.99,0.96
Fall75,1.0,1.0
Fall76,0.99,0.97
Fall77,1.0,1.0
Fall78,0.97,0.68
Fall79,0.99,0.96
Fall80,0.98,0.95
Fall81,0.99,0.97
Fall82,0.98,0.95
Fall83,0.99,0.98
Fall84,0.98,0.89
Fall85,0.97,0.91
Fall86,0.98,0.9
Fall87,0.98,0.87
Fall88,0.96,0.81
Fall89,0.97,0.93
Fall90,0.93,0.75
Fall91,0.95,0.84
Fall92,0.98,0.93
Fall93,0.97,0.91
Fall94,0.97,0.89
Fall95,0.99,0.97
Fall96,0.93,0.83
Fall97,1.0,1.0
Fall98,0.91,0.74
Fall99,0.85,0.56
Fall100,0.95,0.82
Fall101,0.98,0.89
Fall102,0.93,0.8
Fall103,0.92,0.78
Fall104,0.93,0.78
Fall105,0.9,0.72
Fall106,0.97,0.82
Fall107,0.97,0.89
Fall108,0.97,0.88
Fall109,0.94,0.81
Fall110,0.92,0.74
Fall111,0.98,0.93
Fall112,0.96,0.9
Fall113,0.91,0.77
Fall114,0.78,0.65
Fall115,0.96,0.88
Fall116,0.93,0.8
Fall117,0.96,0.93
Fall118,0.93,0.85
Fall119,0.94,0.82
Fall120,0.95,0.89
Fall121,0.93,0.78
Fall122,0.92,0.78
Fall123,0.89,0.74
Fall124,0.94,0.86
Fall125,0.95,0.82
Fall126,0.86,0.66
Fall127,0.93,0.76
Fall128,0.91,0.76
Fall129,0.92,0.84
Fall130,0.84,0.63
Fall131,1.0,0.98
Fall132,0.97,0.87
Fall133,0.95,0.91
Fall134,0.92,0.83
Fall135,0.96,0.83
Fall136,0.99,0.96
Fall137,0.99,0.94
Fall138,0.99,0.96
Fall139,0.99,0.95
Fall140,1.0,1.0
Fall141,0.91,0.52
Fall142,0.95,0.77
Fall143,0.97,0.86
Fall144,0.95,0.82
Fall145,0.93,0.76
Fall146,0.92,0.67
Fall147,0.95,0.79
Fall148,0.88,0.61
Fall149,0.95,0.76
Fall150,0.9,0.66
Fall151,0.84,0.38
Fall152,0.81,0.48
Fall153,0.94,0.85
Fall154,0.91,0.5
Fall155,0.96,0.88
Fall156,0.91,0.71
Fall157,0.83,0.59
Fall158,0.98,0.93
Fall159,0.91,0.79
Fall160,0.95,0.78
Fall161,0.95,0.86
Fall162,0.93,0.86
Fall163,0.88,0.69
Fall164,0.92,0.72
Fall165,0.9,0.76
Fall166,0.85,0.74
Fall167,0.99,0.94
Fall168,0.83,0.64
Fall169,0.99,0.96
Fall170,0.95,0.73
Fall171,0.84,0.59
Fall172,0.93,0.78
Fall173,0.92,0.79
Fall174,0.92,0.75
Fall175,0.89,0.74
Fall176,0.97,0.88
Fall177,0.92,0.79
Fall178,0.98,0.94
Fall179,0.9,0.73
Fall180,0.95,0.87
Fall181,0.9,0.78
Fall182,0.8,0.31
Fall183,0.82,0.41
Fall184,0.67,0.23
Fall185,0.94,0.76
Fall186,0.68,0.25
Fall187,0.94,0.7
Fall188,0.91,0.48
Fall189,0.95,0.82
Fall190,0.99,0.96
Fall191,1.0,0.98
Fall192,0.97,0.9
Fall193,0.91,0.72
Fall194,0.96,0.89
Fall195,0.98,0.91
Fall196,0.98,0.92
Fall197,0.93,0.8
Fall198,0.96,0.83
Fall199,0.8,0.38
Fall200,1.0,0.98
mean,0.94,0.83
std,0.05,0.15
