,ROC AUC Score,PR AUC Score
Fall1,0.6847826086956522,0.3205397990717721
Fall2,0.708628841607565,0.2857690166892282
Fall3,0.7759651106444838,0.40368734427086284
Fall4,0.6303661616161617,0.19630078186334882
Fall5,0.8599137931034483,0.428160766843189
Fall6,0.7411764705882352,0.3115256505191568
Fall7,0.7733957219251337,0.29534706678811495
Fall8,0.6921875,0.2553330442780821
Fall9,0.7991543340380549,0.4606249817168454
Fall10,0.7549189814814815,0.4598968179615093
Fall11,0.8092575333954645,0.48023910018144234
Fall12,0.8150000000000001,0.5668463507809981
Fall13,0.7159833630421866,0.4082634981248745
Fall14,0.8085988085988086,0.5264896122531121
Fall15,0.6842105263157895,0.4624322425038915
Fall16,0.7200352526439483,0.43051557014695363
Fall17,0.7236590038314177,0.3290701043495717
Fall18,0.728130671506352,0.382691024031436
Fall19,0.6695156695156695,0.38496292380223246
Fall20,0.8107158541941151,0.5868148081342309
Fall21,0.41294773928361717,0.2283353079195937
Fall22,0.5671641791044777,0.19704864621179932
Fall23,0.4161498708010336,0.15742782854472975
Fall24,0.47713498622589534,0.20383396867011447
Fall25,0.5336538461538461,0.20488831743227204
Fall26,0.4828110161443495,0.20004168946718956
Fall27,0.4846225535880708,0.1785744488410309
Fall28,0.5834590246354953,0.23715346968220088
Fall29,0.6605042016806723,0.23710863314061154
Fall30,0.5808361080281169,0.20970862238541846
Fall31,0.9050691244239631,0.6182501348484435
Fall32,0.918918918918919,0.8354384585813766
Fall33,0.8683298683298684,0.6388565441616624
Fall34,0.8686779059449866,0.4088038127901311
Fall35,0.8571428571428571,0.4491016250064258
Fall36,0.7223865877712031,0.4154581573526652
Fall37,0.9333916083916084,0.7217617701117579
Fall38,0.7878419452887538,0.4676299437929806
Fall39,0.9587291188994431,0.8230470583409617
Fall40,0.8412874583795783,0.49782612906968604
Fall41,0.8013141426783479,0.48338313210568423
Fall42,0.8091133004926109,0.40942356455564216
Fall43,0.8224573780129336,0.48794026434466364
Fall44,0.732258064516129,0.2724816402349802
Fall45,0.808695652173913,0.3801485798059708
Fall46,0.8032849503437738,0.3164974615504712
