,ROC AUC Score,PR AUC Score
Fall1,0.63,0.09
Fall2,0.46,0.02
Fall3,0.5,0.17
Fall4,0.33,0.01
Fall5,0.45,0.02
Fall6,0.43,0.02
Fall7,0.65,0.27
Fall8,0.78,0.34
Fall9,0.87,0.56
Fall10,0.53,0.03
Fall11,0.95,0.15
Fall12,0.64,0.29
Fall13,0.7,0.32
Fall14,0.67,0.06
Fall15,0.32,0.02
Fall16,0.52,0.02
Fall17,0.56,0.02
Fall18,0.82,0.64
Fall19,0.79,0.11
Fall20,0.68,0.03
Fall21,0.52,0.03
Fall22,0.59,0.07
Fall23,0.89,0.33
Fall24,0.8,0.44
Fall25,0.78,0.06
Fall26,0.69,0.03
Fall27,0.83,0.49
Fall28,0.74,0.2
Fall29,0.75,0.49
Fall30,0.86,0.08
Fall31,0.63,0.08
Fall32,0.69,0.16
Fall33,0.67,0.11
Fall34,0.65,0.03
Fall35,0.84,0.15
mean,0.66,0.17
std,0.16,0.18
