,ROC AUC Score,PR AUC Score
Fall1,0.864123957091776,0.10831307083955746
Fall2,0.6460183886551347,0.056987300372352105
Fall3,0.6531074559243573,0.029999291147010606
Fall4,0.41859547214775095,0.01526722583644191
Fall5,0.4086122047244094,0.017145408252151616
Fall6,0.6367892471494374,0.03793548381201375
Fall7,0.8118454315637414,0.11016247212122265
Fall8,0.9303408455950828,0.27152878442812095
Fall9,0.7187828915893215,0.13208151069546506
Fall10,0.7128715943647986,0.04637960275488144
Fall11,0.8277320359281437,0.16115611542820435
Fall12,0.8225941422594143,0.19256178791180928
Fall13,0.7670833333333333,0.07371539450351663
Fall14,0.6634846461949265,0.06127346872130144
Fall15,0.6763513513513514,0.09213955431085284
Fall16,0.5770966263616173,0.03226182204133745
Fall17,0.7223213348724945,0.035390998166833686
Fall18,0.8939031433050079,0.11057128714783208
Fall19,0.6076622130360966,0.0341327131256857
Fall20,0.6294738293910764,0.024861346766934543
Fall21,0.7251864601262192,0.07452273559929566
Fall22,0.6596256684491979,0.041933987394158094
Fall23,0.7833267011539992,0.07270949748991604
Fall24,0.9364109232769832,0.47479353523447737
Fall25,0.878054181737654,0.09292535061427426
Fall26,0.7092314078615448,0.026214927968695644
Fall27,0.7362945838837516,0.10787158906856878
Fall28,0.6721624889702278,0.08391826943654787
Fall29,0.6765988023952095,0.14126122266177862
Fall30,0.67893864013267,0.024965013492627922
Fall31,0.8461437133636304,0.44748672547021917
Fall32,0.8045267489711934,0.40928618959373525
Fall33,0.7333894028595459,0.06178815965572684
Fall34,0.7688321536905965,0.34532580347105696
Fall35,0.822008547008547,0.08490535369979596
mean,0.7262720162491497,0.11810779997812568
