,ROC AUC Score,PR AUC Score
Fall1,0.46,0.02
Fall2,0.43,0.02
Fall3,0.52,0.03
Fall4,0.62,0.05
Fall5,0.63,0.11
Fall6,0.83,0.1
Fall7,0.66,0.25
Fall8,0.93,0.36
Fall9,0.85,0.35
Fall10,0.92,0.13
Fall11,0.96,0.23
Fall12,0.56,0.05
Fall13,0.96,0.3
Fall14,0.7,0.07
Fall15,0.36,0.02
Fall16,0.43,0.02
Fall17,0.83,0.06
Fall18,0.84,0.55
Fall19,0.79,0.11
Fall20,0.63,0.03
Fall21,0.91,0.17
Fall22,0.92,0.31
Fall23,0.75,0.04
Fall24,0.78,0.37
Fall25,0.86,0.2
Fall26,0.55,0.02
Fall27,0.91,0.66
Fall28,0.8,0.23
Fall29,0.9,0.16
Fall30,0.75,0.03
Fall31,0.95,0.63
Fall32,0.78,0.23
Fall33,0.92,0.49
Fall34,0.79,0.07
Fall35,0.85,0.17
mean,0.75,0.19
std,0.17,0.18
