,ROC AUC Score,PR AUC Score
Fall1,0.52,0.1
Fall2,0.56,0.08
Fall3,0.4,0.01
Fall4,0.37,0.01
Fall5,0.4,0.02
Fall6,0.4,0.02
Fall7,0.63,0.07
Fall8,0.73,0.34
Fall9,0.56,0.26
Fall10,0.5,0.03
Fall11,0.97,0.26
Fall12,0.59,0.2
Fall13,0.69,0.13
Fall14,0.56,0.05
Fall15,0.38,0.02
Fall16,0.43,0.02
Fall17,0.7,0.06
Fall18,0.95,0.38
Fall19,0.62,0.05
Fall20,0.77,0.06
Fall21,0.69,0.08
Fall22,0.62,0.04
Fall23,0.82,0.34
Fall24,0.87,0.55
Fall25,0.85,0.08
Fall26,0.68,0.02
Fall27,0.75,0.39
Fall28,0.66,0.03
Fall29,0.74,0.16
Fall30,0.75,0.03
Fall31,0.75,0.19
Fall32,0.76,0.29
Fall33,0.71,0.05
Fall34,0.78,0.31
Fall35,0.93,0.35
mean,0.66,0.15
std,0.17,0.14
