,ROC AUC Score,PR AUC Score
Fall1,1.0,1.0
Fall2,0.99,1.0
Fall3,1.0,1.0
Fall4,0.98,0.99
Fall5,0.99,0.99
Fall6,0.99,1.0
Fall7,0.99,0.99
Fall8,1.0,1.0
Fall9,1.0,1.0
Fall10,0.99,1.0
Fall11,0.97,0.96
Fall12,1.0,1.0
Fall13,1.0,1.0
Fall14,0.97,0.92
Fall15,1.0,1.0
Fall16,1.0,1.0
Fall17,0.96,0.92
Fall18,0.88,0.84
Fall19,0.92,0.83
Fall20,0.97,0.8
Fall21,0.96,0.89
Fall22,0.99,0.99
Fall23,0.62,0.49
Fall24,1.0,0.99
Fall25,0.99,0.99
Fall26,0.99,0.98
Fall27,1.0,1.0
Fall28,1.0,1.0
Fall29,0.99,0.99
Fall30,1.0,1.0
Fall31,1.0,1.0
Fall32,1.0,1.0
Fall33,1.0,0.99
Fall34,1.0,0.99
Fall35,1.0,1.0
mean,0.98,0.96
std,0.07,0.1
