,ROC AUC Score,PR AUC Score
Fall1,0.47227091074808947,0.09897652246399911
Fall2,0.5158173601371357,0.07939721029976973
Fall3,0.42145178764897073,0.02035963248649888
Fall4,0.3562183497170092,0.013510264546270094
Fall5,0.42111220472440947,0.03371977054521223
Fall6,0.36879861058672503,0.015989690208238004
Fall7,0.6226590311097353,0.24457004770405535
Fall8,0.711864406779661,0.350700287947139
Fall9,0.6195716062714436,0.304598781565215
Fall10,0.43185626512753683,0.026136204656070833
Fall11,0.76062874251497,0.39352335741304995
Fall12,0.5575313807531381,0.25913833088366317
Fall13,0.656875,0.4678943874816058
Fall14,0.6050734312416555,0.14876568055848172
Fall15,0.3817567567567568,0.018797580211764177
Fall16,0.449131032537808,0.02162536949580228
Fall17,0.686011123937454,0.22996922687640017
Fall18,0.7031598052965926,0.5372443842703751
Fall19,0.6223518122093452,0.06513227828523785
Fall20,0.8022894972760498,0.08650153786072051
Fall21,0.7249314719194238,0.09366409836010291
Fall22,0.5915584415584416,0.033618424766247657
Fall23,0.84291683247115,0.4416089122414814
Fall24,0.7314044213263979,0.10361056545315993
Fall25,0.76777146231638,0.06162217318028526
Fall26,0.6661717278155634,0.023410052554092356
Fall27,0.7545134302069574,0.3728427721992261
Fall28,0.6706428314650805,0.030054985296387778
Fall29,0.7870179640718563,0.32146899218374586
Fall30,0.8053620784964068,0.20245587443333773
Fall31,0.6955805835473885,0.10658018758108546
Fall32,0.7634567901234568,0.2525665478375972
Fall33,0.6962633665745525,0.12542089042800553
Fall34,0.7710439838220424,0.2054703313439206
Fall35,0.8697115384615385,0.29036720868521576
mean,0.6372793154157466,0.17375178749438455
