,ROC AUC Score,PR AUC Score
Fall1,0.84,0.82
Fall2,0.42,0.27
Fall3,0.48,0.27
Fall4,0.69,0.53
Fall5,0.75,0.71
Fall6,0.65,0.55
Fall7,0.18,0.24
Fall8,0.6,0.71
Fall9,0.34,0.2
Fall10,0.66,0.53
Fall11,0.38,0.34
Fall12,0.72,0.72
Fall13,0.61,0.66
Fall14,0.61,0.5
Fall15,0.79,0.84
Fall16,0.37,0.54
Fall17,0.83,0.82
Fall18,0.67,0.73
Fall19,0.71,0.7
Fall20,0.72,0.59
Fall21,0.96,0.96
Fall22,0.74,0.82
Fall23,0.92,0.91
Fall24,0.49,0.44
Fall25,0.89,0.91
Fall26,0.87,0.92
Fall27,0.93,0.92
Fall28,0.74,0.83
Fall29,0.94,0.93
Fall30,0.79,0.84
mean,0.68,0.66
std,0.2,0.23
