,ROC AUC Score,PR AUC Score
Fall1,0.8981831264615938,0.8671867653765798
Fall2,0.5612736023694928,0.5139374591079665
Fall3,0.46299143421919614,0.23674107099959088
Fall4,0.7612200435729848,0.669032973107534
Fall5,0.8719487795118047,0.8054501785419121
Fall6,0.6801948051948051,0.5845073137358051
Fall7,0.09173510396645117,0.23053484164187138
Fall8,0.8338383838383838,0.8881855904079573
Fall9,0.31451851851851853,0.19089633186126892
Fall10,0.7889546351084813,0.7430817609010035
Fall11,0.425859168469118,0.4086041771281278
Fall12,0.6931479642502483,0.6858302044741023
Fall13,0.7464622641509435,0.7563053466673153
Fall14,0.7870967741935484,0.8069980092388613
Fall15,0.9274193548387097,0.9361386950087883
Fall16,0.5096418732782368,0.6880904385186875
Fall17,0.9164222873900294,0.9052234318547783
Fall18,0.8605313092979128,0.8895344904444619
Fall19,0.886904761904762,0.7797508246827314
Fall20,0.5870743034055727,0.4097119952844462
Fall21,0.907161803713528,0.9380209928841217
Fall22,0.8653846153846154,0.903228083113436
Fall23,0.7905982905982907,0.8384090903833663
Fall24,0.8338945005611673,0.8425766966694901
Fall25,0.9478935698447895,0.9544743039702934
Fall26,0.9357298474945535,0.9564593530355971
Fall27,0.9743194658448896,0.9662945485383915
Fall28,0.8823529411764706,0.9271339297902259
Fall29,0.9700176366843033,0.9562505539618528
Fall30,0.9322448979591837,0.95405556754696
mean,0.7548338687734196,0.7410881672959175
std,0.21170545660737253,0.2319328909150673
