,ROC AUC Score,PR AUC Score
Fall1,0.92,0.91
Fall2,0.54,0.42
Fall3,0.66,0.41
Fall4,0.78,0.75
Fall5,0.96,0.95
Fall6,0.62,0.56
Fall7,0.38,0.3
Fall8,0.83,0.9
Fall9,0.45,0.23
Fall10,0.77,0.75
Fall11,0.49,0.52
Fall12,0.67,0.67
Fall13,0.61,0.62
Fall14,0.9,0.88
Fall15,0.76,0.79
Fall16,0.65,0.79
Fall17,0.81,0.78
Fall18,0.86,0.91
Fall19,0.83,0.72
Fall20,0.59,0.4
Fall21,0.94,0.94
Fall22,0.84,0.88
Fall23,0.89,0.9
Fall24,0.74,0.8
Fall25,0.8,0.83
Fall26,0.91,0.94
Fall27,0.84,0.83
Fall28,0.82,0.88
Fall29,0.8,0.77
Fall30,0.92,0.95
mean,0.75,0.73
std,0.15,0.21
