,ROC AUC Score,PR AUC Score
Fall1,0.9,0.9
Fall2,0.66,0.57
Fall3,0.73,0.41
Fall4,0.76,0.68
Fall5,0.88,0.83
Fall6,0.65,0.63
Fall7,0.4,0.31
Fall8,0.83,0.89
Fall9,0.48,0.24
Fall10,0.78,0.75
Fall11,0.62,0.63
Fall12,0.67,0.66
Fall13,0.55,0.57
Fall14,0.87,0.88
Fall15,0.7,0.73
Fall16,0.57,0.75
Fall17,0.81,0.74
Fall18,0.84,0.9
Fall19,0.76,0.64
Fall20,0.54,0.42
Fall21,0.94,0.95
Fall22,0.82,0.86
Fall23,0.89,0.91
Fall24,0.67,0.76
Fall25,0.73,0.76
Fall26,0.89,0.93
Fall27,0.81,0.77
Fall28,0.81,0.88
Fall29,0.74,0.73
Fall30,0.92,0.95
mean,0.74,0.72
std,0.14,0.19
