,ROC AUC Score,PR AUC Score
Fall1,0.66,0.57
Fall2,0.72,0.71
Fall3,0.69,0.53
Fall4,0.85,0.85
Fall5,0.83,0.66
Fall6,0.66,0.66
Fall7,0.31,0.28
Fall8,0.94,0.96
Fall9,0.5,0.24
Fall10,0.88,0.82
Fall11,0.46,0.38
Fall12,0.87,0.89
Fall13,0.68,0.72
Fall14,0.73,0.76
Fall15,0.78,0.8
Fall16,0.44,0.68
Fall17,0.91,0.89
Fall18,0.74,0.78
Fall19,0.79,0.62
Fall20,0.62,0.42
Fall21,0.95,0.94
Fall22,0.77,0.76
Fall23,0.84,0.86
Fall24,0.56,0.57
Fall25,0.85,0.86
Fall26,0.78,0.8
Fall27,0.91,0.91
Fall28,0.62,0.7
Fall29,0.87,0.81
Fall30,0.87,0.89
mean,0.74,0.71
std,0.16,0.19
