,ROC AUC Score,PR AUC Score
Fall1,0.6202554416261917,0.3798698126381488
Fall2,0.30803406145871903,0.24151550325245302
Fall3,0.35734680430485394,0.2268007109915987
Fall4,0.41655773420479303,0.4184226519489394
Fall5,0.5044017607042817,0.32861803515287835
Fall6,0.4484577922077922,0.41234371378661694
Fall7,0.1600559147300367,0.23754050063057705
Fall8,0.39494949494949494,0.5222526944083054
Fall9,0.18162962962962964,0.16542095186088115
Fall10,0.42702169625246544,0.3357649120469547
Fall11,0.3044941119923095,0.3346040123555102
Fall12,0.4074809665673618,0.4200736346485916
Fall13,0.4534198113207547,0.3697857135516296
Fall14,0.4967741935483871,0.4777197866868558
Fall15,0.47096774193548385,0.5226631214285871
Fall16,0.22176308539944906,0.4548181289060593
Fall17,0.5068426197458455,0.36786728346454384
Fall18,0.15844402277039848,0.3141136512277072
Fall19,0.3526785714285714,0.2558233485280771
Fall20,0.5514705882352942,0.4001773995183189
Fall21,0.3183023872679045,0.4107734761162441
Fall22,0.36923076923076925,0.3915983023328565
Fall23,0.2784900284900285,0.35204331321245375
Fall24,0.4242424242424242,0.40119413980543883
Fall25,0.39634146341463417,0.39535961472026615
Fall26,0.443355119825708,0.5502258686971618
Fall27,0.4709809964047252,0.3225109017447568
Fall28,0.39889705882352944,0.4577212389899002
Fall29,0.5114638447971782,0.3860453186178154
Fall30,0.2873469387755102,0.37417046873890963
mean,0.38805656914281755,0.374261273666968
std,0.11287398334405192,0.08867187337973068
