,ROC AUC Score,PR AUC Score
Fall1,0.65,0.41
Fall2,0.19,0.21
Fall3,0.39,0.26
Fall4,0.44,0.5
Fall5,0.56,0.35
Fall6,0.45,0.42
Fall7,0.09,0.23
Fall8,0.45,0.59
Fall9,0.19,0.17
Fall10,0.55,0.4
Fall11,0.34,0.36
Fall12,0.46,0.45
Fall13,0.55,0.4
Fall14,0.46,0.44
Fall15,0.35,0.41
Fall16,0.15,0.42
Fall17,0.48,0.33
Fall18,0.18,0.32
Fall19,0.3,0.25
Fall20,0.61,0.47
Fall21,0.22,0.37
Fall22,0.32,0.37
Fall23,0.26,0.34
Fall24,0.35,0.36
Fall25,0.38,0.39
Fall26,0.4,0.49
Fall27,0.49,0.33
Fall28,0.32,0.4
Fall29,0.49,0.37
Fall30,0.28,0.37
mean,0.38,0.37
std,0.14,0.09
