Fall Name,Fall Start,Fall Stop
Fall1,208,235
Fall2,127,154
Fall3,127,151
Fall4,142,173
Fall5,153,183
Fall6,138,166
Fall7,115,146
Fall8,163,194
Fall9,152,186
Fall10,128,161
Fall11,100,130
Fall12,134,171
Fall13,114,136
Fall14,181,210
Fall15,107,130
Fall16,195,228
Fall17,100,130
Fall18,75,101
Fall19,103,124
Fall20,76,100
Fall21,144,172
Fall22,131,159
Fall23,110,155
Fall24,117,154
Fall25,141,168
Fall26,118,143
Fall27,124,148
Fall28,106,124
Fall29,128,157
Fall30,101,121
Fall31,131,154
Fall32,111,141
Fall33,131,157
Fall34,113,140
Fall35,127,156
Fall36,115,145
Fall37,118,145
Fall38,125,155
Fall39,123,150
Fall40,112,139
Fall41,120,171
Fall42,113,137
Fall43,153,195
Fall44,97,129
Fall45,131,169
Fall46,116,154
Fall47,119,155
Fall48,91,124
Fall49,102,135
Fall50,121,154
Fall51,90,120
Fall52,56,92
Fall53,109,160
Fall54,119,141
Fall55,119,153
Fall56,99,150
Fall57,135,174
Fall58,96,142
Fall59,141,183
Fall60,88,121
Fall61,113,141
Fall62,95,120
Fall63,163,191
Fall64,164,189
Fall65,128,161
Fall66,100,120
Fall67,114,140
Fall68,110,134
Fall69,118,157
Fall70,99,118
Fall71,99,127
Fall72,92,139
Fall73,91,124
Fall74,93,131
Fall75,73,110
Fall76,80,116
Fall77,109,144
Fall78,79,107
Fall79,81,119
Fall80,94,139
Fall81,91,113
Fall82,97,124
Fall83,85,113
Fall84,85,110
Fall85,95,119
Fall86,110,140
Fall87,87,107
Fall88,89,105
Fall89,84,112
Fall90,93,119
Fall91,71,97
Fall92,82,108
Fall93,76,103
Fall94,79,103
Fall95,79,108
Fall96,87,118
Fall97,146,169
Fall98,76,104
Fall99,156,187
Fall100,172,200
Fall101,149,171
Fall102,167,194
Fall103,168,198
Fall104,158,195
Fall105,182,209
Fall106,168,193
Fall107,152,178
Fall108,183,212
Fall109,139,166
Fall110,219,251
Fall111,223,256
Fall112,135,164
Fall113,93,128
Fall114,134,162
Fall115,111,151
Fall116,145,170
Fall117,127,160
Fall118,104,140
Fall119,116,149
Fall120,146,173
Fall121,128,171
Fall122,121,156
Fall123,126,166
Fall124,155,190
Fall125,158,197
Fall126,124,158
Fall127,169,200
Fall128,150,185
Fall129,134,176
Fall130,99,130
Fall131,104,134
Fall132,204,241
Fall133,129,163
Fall134,138,169
Fall135,139,164
Fall136,172,201
Fall137,135,171
Fall138,144,194
Fall139,126,160
Fall140,133,164
Fall141,79,112
Fall142,83,107
Fall143,85,117
Fall144,88,112
Fall145,91,121
Fall146,80,111
Fall147,89,117
Fall148,80,103
Fall149,89,112
Fall150,97,116
Fall151,83,116
Fall152,92,120
Fall153,96,122
Fall154,92,116
Fall155,94,118
Fall156,94,115
Fall157,85,110
Fall158,94,116
Fall159,89,114
Fall160,90,120
Fall161,110,135
Fall162,86,118
Fall163,86,109
Fall164,83,110
Fall165,141,168
Fall166,107,139
Fall167,118,143
Fall168,110,134
Fall169,90,123
Fall170,95,119
Fall171,110,140
Fall172,107,131
Fall173,118,146
Fall174,108,135
Fall175,119,143
Fall176,106,133
Fall177,98,122
Fall178,150,180
Fall179,144,191
Fall180,102,130
Fall181,101,122
Fall182,104,128
Fall183,95,126
Fall184,105,127
Fall185,111,139
Fall186,91,122
Fall187,99,120
Fall188,113,141
Fall189,99,127
Fall190,99,125
Fall191,143,167
Fall192,121,145
Fall193,91,112
Fall194,115,146
Fall195,144,171
Fall196,192,230
Fall197,147,197
Fall198,96,119
Fall199,141,173
Fall200,113,145
